player_name,position,team,season,team_epa_per_play,pass_epa_total,rush_epa_total,team_epa_contribution,overall_team_impact,games_played,success_rate
A.Dalton,QB,NO,2022,-0.055890940288945055,12.676691956964314,-48.66844033697889,0.5743746747941944,0.3446248048765166,14,0.4900990099009901
A.Rodgers,QB,GB,2022,-0.005382408072924954,23.778610167732648,-4.121694111133392,-0.7589599278770768,-0.45537595672624603,17,0.4436741767764299
B.Mayfield,QB,CAR,2022,-0.03524125441091542,-34.40549070394676,-3.2697246132217503,0.8,0.5,7,0.33628318584070793
B.Mayfield,QB,LA,2022,-0.07637979346145758,-59.033134924936526,-24.80209148167571,0.17973808690612597,0.10784285214367557,5,0.38356164383561653
B.Purdy,QB,SF,2022,0.03936563259501382,100.9919720418703,-10.173558293858303,0.3619407686230281,0.21716446117381685,7,0.4861878453038674
C.McCoy,QB,ARI,2022,-0.09016202617185512,-63.04791530870222,-31.232976391007007,0.6019947898966578,0.36119687393799466,4,0.3862068965517242
C.Rush,QB,DAL,2022,0.016726677643587578,50.88898038385801,-17.13721964346044,-0.29207785372750433,-0.1752467122365026,8,0.39644970414201186
C.Wentz,QB,WAS,2022,-0.05435551827270968,-32.33120434245319,-47.11066557933387,0.8,0.5,8,0.38834951456310685
D.Carr,QB,LV,2022,-0.0011231365058227939,36.122473956512046,-30.272902206638513,0.353732166053726,0.2122392996322356,15,0.41353383458646625
D.Jones,QB,NYG,2022,0.0237927886728103,39.94269212070567,-2.6640962898335303,0.11546805200604407,0.06928083120362644,16,0.46050096339113644
D.Mills,QB,HOU,2022,-0.13066013504798368,-100.1632188366976,-77.90734869496929,0.7410842303247799,0.44465053819486794,15,0.373046875
D.Prescott,QB,DAL,2022,0.016726677643587578,50.88898038385801,-17.13721964346044,0.7239661640298939,0.43437969841793633,12,0.5048309178743962
D.Ridder,QB,ATL,2022,-0.002264491700091194,1.5280072268293323,3.241368278679248,-4.029456119474951,-2.417673671684971,4,0.41129032258064524
D.Watson,QB,CLE,2022,-0.005126881193125341,12.150971437981973,2.148272462096567,-2.483019286970714,-1.4898115721824283,6,0.41052631578947374
